" ... Done "," ... fertig"
" ... Fail "," ... fehlgeschlagen"
"About","Info"
"Account","Konto"
"Account deleted","Konto gelöscht"
"Account Information","Kontoinformation"
"Account Saved","Konto gespeichert"
"Account:","Konto:"
"Add Account","Konto hinzufügen"
"Add Listing","Auktion hinzufügen"
"Add Listing Template","Neue Auktionsvorlage"
"Add Products To Listing","Produkte hinzufügen"
"Add Template","Vorlage hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attachments:","Anhänge:"
"Bundle Products","Gebündelte Produkte"
"Buyer","Käufer"
"Buyer Information","Käuferinformation"
"""Buy It Now"" Price:","""Sofortkaufen""-Preis:"
"Calculated","berechnet"
"Calculated Shipping","berechneter Versand"
"Categories","Kategorien"
"Category Synchronization","Kategorien synchronisieren"
"Change Synchronization","Synchronisation ändern"
"Check & Update eBay Feedbacks Periodically:","Prüfe und aktualisiere eBay Bewertungen regelmäßig:"
"Check & Update eBay Categories:","Prüfe und aktualisiere eBay Kategorien regelmäßig:"
"Check & Update eBay Categories Periodically:","Prüfe und aktualisiere eBay:"
"Check & Update eBay Layout Templates:","Prüfe und aktualisiere eBay Designvorlagen:"
"Check Installation Of M2E","Installationsstatus"
"Check Installation Status","Installationsstatus"
"Checkout:","Kasse"
"Clean started! Please wait...","Reinigung wird durchgeführt! Bitte warten..."
"Clear All","Alle löschen"
"Completed","komplett"
"Configurable Products","Konfigurierbare Produkte"
"Configuration","Konfiguration"
"Contact Form:","Kontaktformular:"
"Contacts:","Kontakte:"
"Cost","Kosten"
"Created Invoice for Order","Neue Rechnung wurde erstellt"
"Created new Order","Neue Bestellung angelegt"
"Created Shipping for Order","Versand wurde gestartet"
"Creation Date","Erstellt am"
"Currency:","Währung:"
"Custom","Eigenes"
"Custom Attribute","Eigenes Attribut"
"Custom Description","Eigene Beschreibung"
"Custom Options","Individuelle Optionen"
"Custom QTY Attribute","Eigenes Mengenattribut"
"Custom Start Price Attribute","Eigenes Startpreisattribut"
"Custom Subitle","Eigener Untername"
"Custom Title","Eigener Name"
"Custom Value","Eigener Wert"
"Custom Variation Price Attribute:","Eigenes Preisattribut für Variation"
"Customer Name","Kundenname"
"Defect","Defekt"
"Delete","Löschen"
"Description","Beschreibung"
"Description Template Layout","Designvorlage"
"Description Templates","Designvorlagen"
"Description Text:","Beschreibung:"
"Description:","Beschreibung:"
"Dispatch Settings","Bearbeitungszeit:"
"Domestic Shipping","Versand ins Inland"
"eBay","eBay"
"eBay Account","eBay Konto"
"eBay Accounts","eBay Konten"
"eBay Categories Synchronization","eBay Kategorien synchronisieren"
"eBay Category Source:","eBay Kategorien:"
"eBay Feedback Synchronization","eBay Bewertungen synchronisieren"
"eBay Layout Templates Synchronization","eBay Designvorlagen synchronisieren"
"eBay Recommended","eBay Vorschlag"
"eBay Shipping","eBay Versand"
"eBay Store","eBay Shop"
"eBay Transaction","eBay Transaktion"
"eBay Transactions","eBay Transaktions"
"Edit","bearbeiten"
"Edit Account Information","bearbeite Kontoinformationen"
"Edit Item '%s'","Bearbeite Artikel '%s'"
"Edit Template","Vorlage bearbeiten"
"Element not found","Element nicht gefunden"
"Email","E-Mail"
"Enable log cleaning:","Protokollreinigung aktivieren:"
"Environment","Umgebung"
"Error calculate clear time","Fehler: Speicherwert. Code ="
"Error save synchronize log into DB","Fehler: Synchronisationsprotokoll konnte nicht in der Datenbank gespeichert werden"
"Error save value. Code = ","Fehler: Speicherwert. Code ="
"Extention License Key","Modul Lizenzschlüssel"
"Fail","Fehler"
"Feature Request","Wünsche & Anregungen"
"Feedback","Bewertung"
"Feedbacks","Bewertungen"
"Free","Kostenlos"
"General","Generell"
"Get Token","Seriennummer generieren"
"Get User Token","Benutzer Seriennummer generieren"
"Grand Total","Gesamtsumme"
"Guest","Gast"
"Guest Customer","Gast"
"Here is no Recommended Values","Keine empfohlenen Werte"
"Image Attribute","Bild Attribut"
"Image(s) Height","Bild(er) Höhe"
"Image(s) linked to Original","Bild(er) verknüpft zum Original"
"Image(s) Margin","Bild(er) Abstand"
"Image(s) Width","Bild(er) Breite"
"Images Layout","Bild Layout"
"Images Layout","Bild Layout"
"Import completed","Import erfolgreich"
"Import Orders:","Aufträge importieren:"
"Imported Customer","importierte Kunden"
"Incompleted","unvollständig"
"Info","Info"
"Inquiry","Erkundigung"
"Insert","Einfügen"
"Installed Modules","Installierte Module"
"Installed Version","Installierte Versionen"
"International Shipping","Internationaler Versand"
"Invalid checkout mode","Ungültig"
"Invalid Request","nicht angegeben"
"Item Description:","Artikelbeschreibung:"
"Item does not exist","Artikel existiert nicht"
"Item ID","Artikelnummer"
"Item ID (created by M2E Pro only)","Artikelnummer (von M2E Pro erstellt) "
"Item ID or SKU","Artikelnummer oder SKU"
"Item Information","Artikelinformation"
"Item Manager","Artikelmanager"
"Item News","Artikelneuigkeiten"
"Item SKU (Product and eBay Item SKU the same)","Artikelnummer (Produkt- und eBay SKU gleich)"
"Item Specific","Artikel spezifisch"
"Item Specific","Artikel spezifisch"
"Item Subtitle:","Artikeluntertitel:"
"Item Templates","Auktionsvorlagen"
"Item Title","Artikelname"
"Item was successfully saved","Artikel wurde erfolgreich gespeichert"
"Layout Templates Synchronization","Designvorlagen synchronisieren"
"License","Lizenz"
"License Key:","Lizenzschlüssel:"
"Listing Configuration","Auktionskonfiguration"
"Listing Information","Auktionsinformationen"
"Listing Templates","Auktionsvorlagen"
"Listing Upgrades","Auktionserweiterungen"
"Listings","Auktionen"
"Log Cleaning","Protokollreinigung"
"Log Cleaning ... completed","Protokollreinigung … erfolgreich beendet"
"Log Cleaning Settings Saved","Protokollreinigung Einstellungen gespeichert"
"Log History","Protokolle"
"Logs","Protokolle"
"M2E Pro Notes","M2E Pro Hinweis"
"Marketplace:","Marktplatz:"
"Magento Version","Magento Version"
"Max execution time","maximale Laufzeit"
"Memory Limit","Speichergrenze"
"Modify Template","Vorlage bearbeiten"
"Module","Module"
"Multi Variation","Multi-Variation"
"Multi Variation Options","Multi-Variation Optionen"
"Multivariation","Multi-Variation"
"N/A","nicht verfügbar"
"No","Nein"
"No item's to import","Keine Artikel zu importieren"
"None","Nichts"
"Not Listed","Nicht eingestellt"
"Not Shipped","Nicht versendet"
"Note: access to sandbox account:<br> Login: esandbox10539<br>  Pass: nomistakes","Hinweis: Zugang zum Sandbox-Account: <br> Benutzername: esandbox10539<br> Passwort: nomistakes"
"Note: This is time consuming operation. Please be patient.","Hinweis: Dies ist eine aufwändige Operation. Bitte haben Sie Geduld"
"Number of Images","Anzahl Bilder"
"Ok","OK"
"On Customer and Order Creation","Bei Kunden- und Auftragsanlage"
"On Customer Creation Only","Nur bei Kundenanlage"
"Order #","Auftragsnummer"
"Order Synchronization","Aufträge synchronisieren"
"Order was placed using","Auftrag wurde angelegt in"
"Original Price","Originalpreis"
"Paid","bezahlt"
"Password:","Passwort:"
"Payment","Zahlung"
"Payment Information","Zahlungsinformation"
"Payment Method Used:","Zahlungsart"
"Payment status for eBay Transaction cannot be updated. Reason: %s","Zahlungsstatus für eBay Transaktion kann nicht aktualisiert werden. Grund: %s"
"Payment status for eBay Transaction was updated to Paid","Zahlungsstatus für eBay Transaktion wurde aktualisiert: bezahlt"
"PHP Version","PHP Version"
"Please check for runer. Code:","Bitte überprüfen Sie Runer. Code:"
"Please enable task first","Bitte erst Aufgabe freigeben"
"Please enter account","Bitte Konto angeben"
"Please Fill Description","Bitte Beschreibung eingeben"
"Please fill subject","Bitte Betreff eingeben"
"Please Fill Your Contact Data","Bitte Kontaktdaten eintragen"
"Please get Token","Bitte Seriennummer generieren"
"Please select mode","Bitte Modus auswählen"
"Predefined Customer","Vordefinierter Kunde"
"Price","Preis"
"Price Configuration","Preiskonfiguration"
"Price Templates","Preisvorlagen"
"Primary eBay Category:","Erste eBay Kategorie:"
"Product Attribute Set:","Produkt Attribut Set:"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Price","Produktpreis"
"Product QTY","Produktmenge"
"Product Short Description","Produktkurzbeschreibung"
"Product SKU","Produkt SKU"
"Production","Produktion"
"Products","Produkte"
"Project Configuration","Projektkonfiguration"
"Qty","Menge"
"QTY","Menge"
"Relist eBay item listing when Magento Store product is IN stock and QTY is greater than 0:","Stelle Artikel auf eBay wieder ein, wenn Artikel in Magento wieder lieferbar und Lagerbestand größer als 0:"
"Request Type Has Incorrect Value","Anfrage beinhaltet ungültige Werte"
"Reset Categories","Kategorien zurücksetzen"
"Reserve Price:","Reservepreis:"
"Return Policy","Rückgaberecht"
"Row Total","Reihe Summe"
"Run Now","Jetzt ausführen"
"Run Synchronization Now","Jetzt synchronisieren"
"Run Synchronization Script","Jetzt synchronisieren"
"Sandbox","Sandbox"
"Save log, days:","Speicher Protokoll, Tage:"
"Seller","Verkäufer"
"Secondary eBay Category:","Zweite eBay Kategorie:"
"Send","senden"
"Send Message To Developers:","Sende Mitteilung an Entwickler"
"Send Notification:","Sende Mitteilung"
"Server API","Server API"
"Server Environment","Server Umgebung"
"Shipped","versendet"
"Shipping","Versand"
"Shipping & Handling","Versand & Abwicklung"
"Shipping & Handling Information","Versand & Abwicklung Information"
"Shipping Address","Versandadresse"
"Shipping status for eBay Transaction cannot be updated. Reason: %s","Versandstatus konnte nicht aktualisiert werden. Grund: %s"
"Shipping status for eBay Transaction was updated to Shipped","Versandstatus wurde aktualisiert: 'versendet' "
"Single Item","Einzelartikel"
"Special Price","Sonderpreis"
"Status","Status"
"Start Price:","Startpreis:"
"Stock Level Synchronization","Lagerbestand synchronisieren"
"Stop eBay item listing when listed item QTY is 0 or less on Magento Store:","Beende eBay Auktion, wenn Lagerbestand in Magento = '0' oder weniger:"
"Stop eBay item listing when Magento Store product is OUT of stock:","Beende eBay Auktion, wenn Artikel in Magento 'nicht lieferbar':"
"Subject:","Betreff: "
"Subtotal","Zwischensumme"
"Synchronization","Synchronisation"
"Synchronization Log","Synchronisationsprotokoll"
"Synchronization log not found","Synchronisationsprotokoll nicht gefunden"
"Synchronization Logs","Synchronisation"
"Synchronization Run ... completed","Synchronisation abgeschlossen"
"Synchronization settings","Synchronisationseinstellungen"
"Synchronization Settings Saved","Synchronisationseinstellungen gespeichert"
"Synchronization started! Please wait...","Synchronisation gestartet! Bitte warten"
"Synchronize eBay items transactions:","Synchronisiere eBay Artikelverkäufe:"
"Synchronize Items by:","Synchronisiere Artikel nach:"
"Table","Tabelle"
"Tables","Tabellen"
"Template Configuration","Vorlage Konfiguration"
"Template Info","Vorlage Information"
"Templates List","Designvorlagen"
"Title:","Name:"
"Token:","Seriennummer:"
"Transaction","Transaktion"
"Transaction Item","Verkaufsartikel"
"Transaction Logs","Verkäufe"
"Transaction not found","Transaktion nicht gefunden"
"Transaction Status","Verkaufsstatus"
"Transaction Totals","Verkäufe Gesamt"
"Transactions Log","Verkaufsprotokoll"
"Type:","Typ:"
"Unknow Error","Unbekannter Fehler"
"Unknown Error","Unbekannter Fehler"
"Update eBay QTY when listed item QTY CHANGED on Magento Store:","Aktualisiere Lagerbestand auf eBay, wenn sich Lagerbestand in Magento ändert:"
"Update Magento Store product QTY when listed item SOLD on eBay:","Aktualisiere Lagerbestand in Magento, wenn Artikel auf eBay verkauft wurde:"
"Update Time","Erstellt am"
"Use Attributes","Attribute benutzen"
"Use eBay Layout Template","eBay Designvorlage benutzen"
"Variation Price","Variation Preis"
"Variation QTY","Variation Menge"
"Variation SKU","Variation SKU"
"View","ansehen"
"View on eBay","auf eBay ansehen"
"View on Magento","in Magento ansehen"
"View Synchronization Log","Synchronisationsprotokoll ansehen"
"View Transaction Details","Transaktionsdetails ansehen"
"Waiting","Warte"
"What steps will reproduce the problem?","Welche Schritte können das Problem reproduzieren?"
"Who Left","Bewertung von"
"Wrong login or password","Falscher Benutzername oder Passwort"
"Yes","Ja"
"Your Message Has Been Successfully Sent.","Ihre Nachricht wurde erfolgreich versendet."
